"ID";"Reisender";"Titel";"Standort";"Stand";"Original";"Bearbeitungsvermerk";"Reisezeit";"KA";"KE";"Koordinaten";"Band"
11;Aboulfeda;"Aboulfeda: Géographie d'Aboulféda. 2. Bd. Paris 1848, 224+317p. 
";StUB Frankfurt;2;3;0;;18;99;;2
12;About, Edmond;"About, Edmond: De Pontoise à Stamboul. Le grain de Plomb dans le Ruins -les Oeufs de Pagnus- le jardin de mon grand pere- au petit trianon quarte discorus. Paris 1884, 284p. 
";UB Bonn Fc 475/ 26;2;1;0;;18;18;;0
13;About, Edmond;"About, Edmond: La Grèce contemporaine. 1. Aufl. Paris 1854, 486p. 5. Aufl.  Paris 1863, 408p. 
";Gen: GT 1343. 5(I, 4;4;2;0;;255;0;;0
14;About, Edmond;"About, Edmond: Greece and the Greeks of the present day. Edinburgh 1855, xiv+360p. 
";Gen: GT1343. 56(I, 4;4;3;0;;255;0;;0
15;Abu Abdallah Mohammed ibn Mohammed al Idrisi;"Abu Abdallah Mohammed ibn Mohammed al Idrisi: Géographie d'Idrisi,  hrsg. von A. Jaubert. 2 Bde. Paris 1837-1841. 
";Vin               ;1;1;4;;18;77;;0
16;Mirza Abu Taleb Khan;"Mirza Abu Taleb Khan: Voyages de Mirza Abu Taleb Khan, en Asie, en Afrique et en Europe, pendant les années 1799, 1800, 1801, 1802 et 1803; écrits par lui-même en persan. Suivis d'une réfutation des idées qu'on a en Europe sur la liberté des femmes d'Asie; par le même auteur. Paris 1811. 
";Sym. ;1;1;0;;255;0;;0
17;Ackland, H.;"Ackland, H.: (The plains of Troy [a panorama] drawn on the spot by H. Ackland, engraved [in aquatint] by F. C. Lewis. Oxford 1839. ) 1'* 6' 10'', mounted on linen and folded in a case. 
";Gen: GT2537. 1(I, 11;1;1;0;;33;33;;0
18;Addison, Charles G.;"Addison, Charles G.: Damascus and Palmyra: a journey to the East, with a sketch of the state and prospects of Syria under Ibrahim Pasha.  2 Bde. London 1838, 10 colored plates. 
";UB Gött. ;2;1;0;;255;0;;0
19;Addison, Charles G.;"Addison, Charles G.: Damascus and Palmyra: a journey to the East,  with a sketch of the state and prospects of Syria under Ibrahim Pasha. 1. Bd. London 1838, xv+440p. 
";UB Gött. Itin. I. 27;2;1;0;;27;65;;1
20;Addison, Charles G.;"Addison, Charles G.: Damascus and Palmyra: a journey to the East,  with a sketch of the state and prospects of Syria under Ibrahim Pasha. 2. Bd. London 1838, x+484p. 
";UB Gött. Itin. I. 27;4;1;0;;255;0;;2
21;Adlerberg, N.;"Adlerberg, N.: En Orient. -Impressions et reminiscences. 2 Bde. 2. Aufl.  St. Pétersbourg 1869. 
";Gen: GT 1155 (I, 681;1;1;0;;18;85;;0
22;Aigen, Wolfgang;Aigen, Wolfgang: Reisebeschreibung von Deutschland nach Italien, Dalmatien, Griechenland, Türckeyen, Frankreich etc... (Weimar) 1655, 176p.  ;Röhricht 1076     ;1;1;1;;255;0;;0
23;Ainslie, Robert;"Ainslie, Robert: Extent d'un voyage pittoresque en Caramanie et dans quelques autres parties de l'empire Ottoman. In: Annales des  voyages, de la géographie et l'histoire, hrsg. von Conrad Malte-Brun. Bd. VI.  Paris 1809, 368. 
";UB Berlin;2;1;0;;58;99;;0
24;Ainsworth, William;"Ainsworth, William: Notes on a journey from Constantinople, by Heraclea, to Angora, in the autumn of 1838. By William Ainsworth, Esq. , in charge of an expedition to Kurdistan. In: Journal of the Royal Geographic Society (London) 9 pt. , 2, 1839, 216-276. 
";Gen: GT 942 (I, 290);1;1;2;;18;21;;0
25;Al-Hosaini von Medina;"Al-Hosaini von Medina: Reise nach dem heil. Lande u. Constantinople.  o. O. o. J. 
";Röhricht 1007;1;1;0;;18;18;;0
26;Alcock, Thomas;"Alcock, Thomas: Travels in Russia, Persia, Turkey and Greece, in 1828--1829. London 1831, v+227p. , folding frontispiece and map. 
";Gen: GT 1449 (I, 194;1;1;1;;18;77;;0
27;Aldenhofen, Ferdinand;Aldenhofen, Ferdinand: Itinéraire déscriptif de l'Attique et du Péloponnèse avec des cartes et plans topographiques. Athen 1841.  ;BO Arch. Sem       ;1;1;6;;51;77;;0
28;Aldenhoven;"Aldenhoven: Siehe Aldenhofen
";"";5;1;0;;255;0;;0
29;Alexander;"Alexander: Voyage à Constantinople. In: Itinéraires Russes en Orient.  Traduit pour la Société de l'Orient Latin par Mme. B. de Khitrowo.  I. 1. Genf 1889, 159-164. 
";MS UB H 3 458;2;1;0;;18;18;;0
30;Allan, John Harrison;"Allan, John Harrison: A Pictorial tour in the Mediterranean: including Malta-Dalmatia-Turkey-Asia Minor-Grecian Archipelago-Egypt--Nubia, Greece-Ionian Islands-Sicily-Italy-and Spain. London 1843, 96p 40 tinted lithograph plates, 67 woodcuts in text. 
";"12, NUC; Gen: GT 186";1;1;3;;255;0;;0
31;Allom, Thomas;Allom, Thomas: Constantinople and the scenery of seven churches of Asia Minor illustrated in a series of drawings from nature. With an historical account of Constantinople, and descriptions of the plates, by the Rev. Robert Walsh. 2 parts in I. London 1850?. 2 engraved title-pages, 2 frontispieces, 92 engraved plates, and map.  ;Gen: GT 1844(I, 1150;1;1;3;;18;18;;0
32;Almerté, Talmini;"Almerté, Talmini: Voyages de sa Majesté la Reine d'Angleterre et du Baron Pergami, son Chambellan, en Allemagne, Italie, Grèce, Sicilie, Tunis, Jaffa, Jerusalem, Constantinople, etc. , pendant les années 1814..  1820; avec des anecdotes curieuses et piquantes. Paris 1821, 248p. ,  2 portraits. 
";UB Gött. N 8;4;1;0;;255;0;;0
33;Amicis, Edmondo de;Amicis, Edmondo de: Constantinople. Translation from the fifteenth Italian edition by Maria Hornor Lansdale. 2 Bde. Philadelphia 1896.  ;Gen: GT1497. 01(I, 8;1;3;0;;18;18;;0
34;Amicis, Edmondo de;"Amicis, Edmondo de: Constantinople. Ouvrage traduit de l'italien avec l'autorization de l'auteur par Mme J. Colomb et illustré de 183 reproductions de desseins pris sur nature par C. Biseo. Paris 1883,  452p. 
The first Italian edition appeared in 1877. 
";MS UB 47: 8887*3;2;3;0;;18;18;;0
35;Ammann, Hans Jakob;"Ammann, Hans Jakob: Reiss in das Gelobte Land. Von Wien auss Oesterreich durch Ungariam, Serviam, Bulgariam und Thraciam auff Constantinopel: Ferner durch Natoliam, Cappadociam, Ciliciam, Syriam und Judaeam auff Jerusalem... Durch Joh. Jac. Amman, Burger und bestellten Wundartzt zu Zürich. Zürich 1618, 228p. 
2. Aufl.: 1630. 3. Aufl.: 1678. 
";LB Stuttgart      ;1;2;3;;11;28;;0
36;Ammann, Hans Jakob;"Ammann, Hans Jakob: Hans Jakob Ammann, genannt der Thalwyler Schärer,  und eine Reise ins Gelobte Land, hrsg. von Aug. F. Ammann. 
Zürich 1919, vii+250+[1]p. , 69 illustrations. 
1. Aufl.: 1618. 
";SB Berlin Ul 5107;2;1;0;;11;28;;0
37;Andersen, Jürg;"Andersen, Jürg: Orientalische Reise-Beschreibung. In der Bearbeitung von Jürgen Andersen u. Volguard Iversen, hrsg. von Dieter Lohmeier.  Nachdr. der Ausgabe: Schleswig 1669. Tübingen 1980, XVI, 236, 35p.  (= Deutsche Nachdrucke, P. Bausch 27). 
";MS UB 3 C 10805;4;1;0;;255;0;;0
38;Andersen, Jürg;"Andersen, Jürg: Orientalische Reisebeschreibung von Jürg Andersen,  der 1644 ausgezogen und 1668 wiederangelanget, durch Ost-Indien,  Sina, Tartarien, Persien, Türckeyen, Arabien und Palestinam gezogen...  Schleswig 1669 u. Hamburg 1696. Holländ. 
Übers.: Amsterdam 1670, 164p. 
";Röhricht 1069;4;1;0;;255;0;;0
39;Anderson, John George Clark;Anderson, John George Clark: Studia Pontica. I. A Journey of exploration in Pontus. Bruxelles 1903, 104p. , 9 maps and many illustrations.  ;MS UB k*1 904-1;2;2;0;;98;98;;0
40;Anderson, Rufus;"Anderson, Rufus: Observations upon the Peloponnesus and Greek islands made in 1829. Boston-New York 1830, viii+21-334p. , map. 
";Gen: Ind. No. 313(I,;1;1;1;;51;77;;0
41;Andreossy, Antoine Francois;"Andreossy, Antoine Francois: Constantinople et le Bosphore de Thrace Paris 1841, xliii+525p. 
Und: Atlas. Paris 1841, 10 plates. 
";Gen: GT 1466 (I, 156;1;1;0;;16;21;;0
42;Andreossy, Antoine Francois;"Andreossy, Antoine Francois: Constantinople et le Bosphore de Thrace pendant l'années 1812, 1813, 1814 et 1826, avec un atlas composé de six planches gravées, et de quatre paysages lithographiés. Paris 1828, xliv+525p. 
Und: Atlas. Paris 1828. 
Deutsche Übersetzung; Leipzig 1828
";GT 1466. 2(I, 154)  ;1;1;2;;16;21;;0
43;Andreossy, Antoine Francois;Andreossy, Antoine Francois: Voyage à l'embouchure de la Mer-Noire,  ou, Essai sur le Bosphore et la partie du delta de Thrace comprenant le système des eaux qui abreuvent Constantinople, précédé de considérations générales sur la géographie-physique, avec un atlas composé d'une carte nouvelle du Bosphore et du canal de la Mer--Noire, et de plusieurs autres nouveau dessins. Paris 1818, lxiv+334p.  ;Mize 121 He 8 595;2;1;0;;18;18;;0
44;Anglure;"Anglure: Le Saint Voyage de Jhérusalem du seigneur d'Anglure, publié par Fr. Bonnardot et Aug. Longnon. Paris 1878. 
(= Société des anciens textes francais). 
";Piloti;1;1;0;;255;0;;0
45;Arnaud, François;"Arnaud, François: Voyages à Athènes, Constantinople et Jerusalem de François Arnaud (1602-1605), hrsg. v. H. Omont. In: Florilegium Melchior Vogûé 1909, 467-484. 

";"";1;1;0;;18;58;;0
46;Anonymus(Francais);"Anonymus(Francais): Le voyage de la Saincte Cyté de Hierusalem,  avec la description des Lieux Portz villes citez et aultres. Passaiges fait l'an mil quartre cens qurtre vingtz. Estant le siege du Grabd Turc à Rhodes et regnant en France Loys unzieme de ce nom.  Ed. Scheffer. Paris 1882. 
";Hemmerdinger;1;1;0;;255;0;;0
47;Anonymus;"Anonymus: A Narrrative in two parts: written in 1812. London 1813,  288p, large map. 
";Gen: GT 1016 (I, 34);1;1;0;;23;60;;0
48;Anonymus;"Anonymus: Du Danube à l'Adriatique. In: Revue des deux mondes(Paris),  93, 1889, 108-132; 324-353; 97, 1890, 86-116. 
";Gen: GT 921 (I, 915);1;1;0;;255;0;;0
49;Anonymus;"Anonymus: Constantinople: A sketch during the conference. In: Macmillan's Magazine (London) 35, 1877, 397-402. 
";Gen: GT 921 (I, 763);1;1;0;;18;18;;0
50;Anonymus;"Anonymus: Recherches curieuses d'Antiquité; contenues en plusieurs Dissertationes sur les Medilles, Bas-reliefs, Mosaiques, Statues et Inscriptiones antiques. Lyon 1683, 538p. 
";BO Fu. 65/ 4101 6w;1;1;0;;255;0;;0
51;Anonymus;"Anonymus: Album zur Erinnerung an Constantinopel, Souvenirs de Constantinople; Remembrances of Constantinople. Triest 1860? , 28 steel engravings. 
";Gen: GT 2492 (I, 117;1;1;0;;18;18;;0
52;Anonymus;"Anonymus: Album zur Erinnerung an Athen. Souvenirs d'Athènes. Remembrances of Athens. Triest 1860? , 12 steel engraved plates. 
";Gen: GT 2220 (I, 117;1;1;0;;55;58;;0
53;Anonymus;"Anonymus: Album containing 18 original drawings in sepia of views in Attica, Aegina, Scio, Pergamum, Smyrna, etc. London 1801. 
6 3/ 4 mal 11''. 
";Gen: GT 2052 (I, 109;1;1;0;;43;61;;0
54;Anonymus;"Anonymus: Turkey; being sketches from life by the ""Roving Englishman"". Reprinted in part from ""Household words""with numerous additions. A new edition. London 1877, xv+376p. 
";Gen: GT 1484. 1(I, 7;1;1;0;;255;0;;0
55;Anonymus;"Anonymus: Reminiscenses of the years 1838-39, 120p. Titelblatt fehlt,  offensichtlich nur für den privaten Gebrauch bestimmt. Reise u. a.  auch nach Griechenland. 
";Gen: GT 1087 (I, 282;1;1;0;;18;18;;0
56;Anonymus;"Anonymus: Reise der russisch-kaiserlichen ausserordentlichen Gesandtschaft an die othomanische  Pforte im Jahre 1793; drei Theile vertrauter Briefe eines Ehstländers an einen seiner Freunde in Reval. 3 Bde. St. Petersburg 1803, ii+xii+220, vii+231, viii+173p. , portrait,  frontispiece and map. 
";Gen: GT 807 (II, 631;1;1;0;;18;18;;0
57;Anonymus;"Anonymus: A ramble in the islands of the Aegean. The Turk and the Greek. In: Colburn's United Service Magazine 305, 1854, 475-486;  306, 1854, 27-37. 
";Gen: GT 882 (I, 494);1;1;0;;43;43;;0
58;Anonymus;"Anonymus: Souvenirs d'Asie-Mineure. (In four parts). In: Revue des deux mondes (Paris) 44, 99-129; 299-339; 571-608; 896-929. 
";Gen: GT 942 (I, 618);1;1;0;;31;31;;0
59;Anonymus;"Anonymus: Sketches of Turkey in 1831 and 1832. By an American. (Dr. J.  E. de Kay? ). New York 1833, xii+527p. 
";Gen: GT 1050 (I, 210;1;1;0;;255;0;;0
60;Anonymus;"Anonymus: Description of a view of Athens and surrounding country,  now exhibiting in Henry Ashton Barker and John Burford's Panorama.  London 1818, 12p. , large folding panorama. 
";Gen: GT 1881 (I, 110;1;1;0;;55;58;;0
61;Anonymus;"Anonymus: Cyprus. In: Dublin University Magazine 48, 1856, 175-189.  (Anonymus article)
";Gen: GT 3118 (I, 531;1;1;0;;99;99;;0
62;Anonymus;"Anonymus: Viennensis. Reisebericht. Beschreibung Athens. Wien, Codex Ambros. C 61 inf. Entdeckt durch C. O. Müller 1840. 
";"";1;1;0;;55;58;;0
63;Anonymus;Anonymus: Ein Winter in Griechenland, 1879-1880. Leipzig 1881, 117p.  ;Gen: GT 1376 (I, 829;1;1;0;;31;61;;0
64;Anonymus;Anonymus: Sketches in Greece and Turkey, with the present condition and future prospects of the Turkish Empire... London 1833, vii+266p.  ;Gen: GT 1312(I, 213);1;1;0;;18;64;;0
65;Anonymus;"Anonymus: Descritione delle provincie che formano la tanto decantata Penisola della Morea con l'aggiunta de'progressi fatti dall' armi Venete l'anno 1686. Milano 1686. 
";Sym. ;1;1;0;;51;77;;0
66;Anonymus;"Anonymus: Breve relazione dell'isola di Scio. o. O. 1810. 
";Sym. ;1;1;0;;49;55;;0
67;Anonymus;"Anonymus: Archipelagus Turbatus, oder, Des schönen Griechenlands verwüstete und erödete Wasser-Felder auf welchen zu sehen seyn, des Egeischen und anhangender Meeren, Insulen und angräntzender Länder,  besonders auch des Peloponnes, oder Halb-Insul Morea, Vögeln,  Fischen, Bäumen, Früchten, Antiquitäten und Raritäten etc. 
Augsburg 1686. 
";Sym. ;1;1;0;;51;77;;0
68;Anonymus;"Anonymus: An authentic narration of the Russian expedition against the Turks by sea and land. Containing every material circumstance of their preceedings from their first failing from Petersburgh to the destruction of the Turkish fleet in the Archipelago. Compiled from several authentic Journals by an officier on board the Russian fleet. London 1772. 
";Sym. ;1;1;0;;255;0;;0
69;Hoffmann, Johan;Hoffmann, Johan: Kurze Beschreibung der Insel und Reichs Creta oder Candia. Nürnberg 1669. ;Chaniotis;1;1;0;;255;0;;0
70;Anonymus;"Anonymus: Welt-Gemälde-Galerie. Aus dem Franz. Europa. Bd. 1: Griechenland. Stuttgart 1836, 510p. 
";Königstein, 38;1;1;0;;255;0;;0
71;Anonymus;"Anonymus: Narrative of a Tour through some parts of the Turkish Empire. London 1829. 
";Sym. ;1;1;0;;255;0;;0
72;Anonymus;"Anonymus: Itinerarium durch den Peloponnes, gedruckt in der lithogr.  Anstalt der Regentschaft. Nauplia 1833. 
";Sym. ;1;1;0;;51;77;;0
73;Anonymus;"Anonymus: Isole e scogli dell'Arcipelago, che sono nel Mare di Rhodi. Parte seconda. Dell'Arcipelago. Cominciato nel 1740, finito nel 1758. 
";Sym. ;1;1;0;;78;85;;0
74;Anonymus;"Anonymus: F. W. B.: A collection of modern and contemporary voyages and travels: containing I: Translations from foreign languages...  II. Original voyages and travels. III: Analyses of new voyages and travels. London 1805-1809. 
";Sym. ;1;1;0;;255;0;;0
75;Anonymus;"Anonymus: Estatta notitia del Peloponneso, volgarmente penisola della Morea, divisia in otto provincie descritte geograficamente,  dove si legge l'origine de'primi habitanti con li nomi che diedero alle provincie, città e altro con sue istore e acquisti fatti dalla Serenissima Republica di Venetia dall'anno 1648 sino al di
presente. Venedig 1687. 
";Sym. ;1;1;0;;51;77;;0
76;Anonymus;"Anonymus: Die Neu-Griechen Beobachtungen von einem Augenzeugen.  Berlin 1825. 
";Sym. ;1;1;0;;255;0;;0
77;Anonymus;"Anonymus: Descrizzione del regno o sia penisola della Morea, compresso nella quarta carta geographica del teatro della guerra presente fralla Russia e la Porto Ottomana. Venezia 1770. 
";Sym. ;1;1;0;;51;77;;0
78;Anonymus;"Anonymus: Viaje a Constantinople en el ano 1784 escrito de order superior. Madrid 1790. 
";Sym. ;1;1;0;;18;18;;0
79;Anonymus;"Anonymus: Detailierte Nachrichten von der Insel Candia, nebst  Bemerkungen auf einer Reise durch dieselbe. In Briefen an eine  Dame. In: Neue Quartalschrift zum Unterricht und zur Unterhaltung.  Aus den neuesten und besten Reisebeschreibungen gezogen. Hrsg. v.  Friedrich Schulz, 
Bd. 8. Berlin 1793, St. 2, 68-115; St. 3, 3-78. ";Grieb;1;1;0;;87;97;;0
80;Anonymus;"Anonymus: Viaggio in Valachia e Moldavia con osservazioni storiche,  naturali e politiche. Napoli 1788. 
";Sym. ;1;1;0;;255;0;;0
81;Anonymus;"Anonymus: Tableau de l'empire ottoman, où l'on trouve tout ce qui concerne la Religion, la Milice, le Gouvernement civil des Turcs et les grandes charges et dignités de l'Empire. Paris 1757. 
";Sym. ;1;1;0;;255;0;;0
82;Anonymus;"Anonymus: Storia dei fatti memorabili avvenuti fra'principi dell' Europa l'anno 1771 e principalmente quelli della guerra presente sussistente fra la Corte di Russia e la Porta Ottomana. Venezia 1772. 
";Sym. ;1;1;0;;255;0;;0
83;Anonymus;"Anonymus: Reise durch die Inseln des Archipelagus. Mit neuen Bemerkungen, besonders für Freunde der Erd-und Geschichte-Kunde Politiker, Kaufleute und Seefahrer. St. Petersburg 1793. 
";Sym. ;1;1;0;;255;0;;0
84;Anonymus;"Anonymus: Reise durch die Inseln des Archipelagus (von einem vornehmen Russen). St. Petersburg 1793. 
";Sym. ;1;1;0;;255;0;;0
85;Anonymus;"Anonymus: Quelques faits historiques concernant la province du Maina à dater du 1769. Faits qui se ratachent principalement à Zanetakis Capetanakis Gregorakis et sa famille. Athen 1859. 
";Sym. ;1;1;0;;74;77;;0
86;Anonymus;"Anonymus: Nouvelle description de la ville de Constantinople avec la relation du voyage de l'ambassadeur de la Porte Ottomane et de son séjour à la cour de France. Paris 1721. 
";Sym. ;1;1;0;;18;18;;0
87;Anonymus;"Anonymus: Kurtze Beschreibung der Insel und Reichs Creta oder Candia, ihrer Gelegenheit/ Beherschung/ derselben Verenderung/ Und andern denckwürdigen Begebenheiten. / wie auch seinerzeit geführten Kriegen wider die Türcken/ Vornehmlich von 25 Jahren her/ mit etlichen Kupffer-Figuren und Conterfeiten. Nürnberg 1669, 16 ungez. 388p. , mit 18 teils gefalteten Kupfern. 
";Grieb;1;1;0;;87;97;;0
88;Anonymus;"Anonymus: O-Wahaus des O-Tahiten durch Athen. Aus dem O-Tahitischen übersetzt. (Motto: Denn dort ist ohnehin der Narren Paradies). Wieland o. O. 1782, xvi+147p. Die Vorrede ist unterzeichnet: J. G. S. Methermänevonos. 
";Grieb;1;1;0;;55;58;;0
89;Anonymus;Anonymus: Voyages en Turquie, en Perse, en Arménie, en Arabie et en Barbarie, par un Missionaire de la Compagnie de Jésus. Paris 1729.  ;Sym. ;1;1;0;;255;0;;0
90;Anonymus;"Anonymus: Itinéraire d'une partie peu connue de l'Asie Mineure, contenant la description des régions septentrionales de la Syrie,  celle des côtes méridionales de l'Asie Mineure et des régions adjacentes encore peu inconnues, l'examen des causes de l'abaissement du niveau à l'extrémité du bassin oriental de la Méditerranée, etc.  Paris 1816, xvi+437p. , map. 
";Gen: GT 1509 (I, 42);1;1;0;;18;82;;0
91;Anonymus;"Anonymus: Voyages and travels of Her Majesty Caroline Queen of Great Britain. Including visits to various parts of Germany, France,  Italy, Greece, Palestine etc. , and comprising the latest description of those interesting countries, with remarks on the State
of Society, Religion, Manners, Customs, Antiquities, Arts, Literature,  Natural curiosities etc... London 1821. 
";Sym. ;1;1;0;;255;0;;0
92;Anonymus;"Anonymus: [86 Original sepia and water color sketches of the Ionian Islands and Epirus, dated 1839-40 (two dated 1834) arranged in topographical order. No place 1839-40. ]
";Gen: GT 2054 (I, 112;1;1;0;;32;41;;0
93;Anonymus;"Anonymus: Voyage fait par ordre du Roy dans la Grèce, l'Asie
Mineure, la Macédoine et l'Afrique. Amsterdam 1714. 
";Sym. ;1;1;0;;16;29;;0
94;Anonymus;"Anonymus: Saga of Sirgurd. In: Early Travels in Palestine, hrsg. von Th. Wright. 2. Aufl. New York 1968, 50-62. 
";Vin;1;1;0;;18;18;;0
95;Anonymus;"Anonymus: Saga of Sirgurd. In: The Visit of King Sigurd the Pilgrim to Constantinople. Eis mnèmèn S. Lamprou, hrsg. von R. M. Dawkins.  Athens 1935, 55-62. 
";Vin;1;1;0;;18;18;;0
96;Anonymus;"Anonymus: Saga of Sirgurd. In: The Stories of the Kings of Norway,  called the Round World (Heimskringla) by Snorri Sturluson, hrsg. von W. Morris und E. Magnússon. III. London 1895, 249-310. 
";Vin;1;1;0;;18;18;;0
97;Anonymus;"Anonymus: Saga of Sirgurd. In: Antiquités russes d'après les monuments historiques des islandais et des anciens scandinaves. hrsg.  von C. Rafn. I+II. Copenhagen 1850-1852. 
A: Extrait de la Heimskringla de snorre Sturlason, Ex Historia Sigur da Hierosolymipetae. I. 380-390. 
B: Saga Sigurdar Konúngs Jórsalafara, II, 62-73. 
";Vin;1;1;0;;18;18;;0
98;Anonymus;"Anonymus: O. T. In: Iz starinnoi Novgoradskoi literatury XIV. vieka,  hrsg. von M. N. Soeransky. Leningrad 1934, 83-140. 
";Vin;1;1;0;;255;0;;0
99;Anonymus;"Anonymus: Lettres d'un officier français, contentant la rélation d' un voyage rapidement fait en Turquie et en Perse pendant l'année 1807. Six letters dated May 1. to Nov. 1807, from Constantinople, Kars,  Tabriz, Ishkember. Title-page missing. 
";Gen: GT 1549 (I, 14);1;1;0;;255;0;;0
100;Anonymus;"Anonymus: Lo stato presente di tuttti i paesi e popoli del Mondo,  naturale, politico e morale, con nuove osservatione e correzioni degli antichi e moderni viaggiatori v. XII: Della Turchie in Europa delle isole dell'Archipelago, Candia, e Morea... Venice 1737. 
";Anglomatis;1;1;0;;255;0;;0
101;Anonymus;"Anonymus: Letters on a journey to Bombay, through Syria and Arabia in 1834-35. Privately printed 1837, 176p. 
";Gen: GT 1573 (I, 255;1;1;0;;51;85;;0
102;Anonymus;"Anonymus: Letters Historical and Critical, from a gentleman in Constantinople to his friend in London, giving an account of the largeness and extent of that city, its places, mosques, and the Musel men, their priests, how they go up the balconies of the steeples, of their mosques and cry and invite the people to come to prayers, and what they say, the Seraglio, Hippodrome... London 1735, 86p. 
";Gen: GT2442. 2(II, 5;1;1;0;;18;18;;0
103;Anonymus;"Anonymus: Description of the island and city of Corfu, with part of the coast chain of Greece, Epirus, and the Suliote of mountains in the distance; the whole representation embellished in the foreground with a variety of costumes worn by the Greeks assembled on Fort Neuf to celebrate the annual religious festival of ""La Madonna""; now exhibiting in H. Barker & J. Burford... London 1822, 12p. , plan.  ";Gen: GT 1881 (I, 111;1;1;0;;31;41;;0
104;Anonymus;Anonymus: Adventures of a Greek lady, the adopted daughter of the late Queen Caroline, written by herself. 2. Bde. London 1849, portrait.  ;Gen: B 985 (I, 413) ;1;1;7;;18;58;;0
105;Anonymus;"Anonymus: A picturesque tour through parts of Europe, Asia, and Africa containing many new remarks on the present state of society,  remains of ancient edificies, &c. with plates, after designs by James Stuart... , author of the Antiquities of Athens. Written by an Italien Gentlemen. London 1793, xiv+241p. , 6 folding plates. 
";Gen: GT 703 (II, 620;1;1;0;;18;71;;0
106;Anonymus;"Anonymus: De Salonique à Belgrade. In: Revue des deux mondes (Paris),  89, 1888, 107-130; 337-371. 
";Gen: GT 921(I, 908);1;1;0;;16;29;;0
107;Anonymus;"Anonymus: Voyage en Krimée, suivi de la relation de l'ambassade envoyée de Pétersbourg à Constantinople en 1793, publié par un jeune Russe, attaché à cette ambassade. Traduit de l'allemand par L. H.  Delamarre. Paris 1802, viii+398p. , table. 
";Gen: GT 806 (II, 632;1;1;0;;18;18;;0
108;Anonymus;"Anonymus: Viaggio in Valachia e Moldavia con osservazioni storichi,  naturali e politiche. Mailand 1822, vi+239p. 
";Gen: GT1251. 1(II, 6;1;1;0;;255;0;;0
109;Anonymus;"Anonymus: Unpublished manuscripts of a traveller in the East. Extract in 16 parts from the Oriental Herald, London, from the July 1825 to Nov. 1826. 
";Gen: GT 1031 (I, 135;1;1;0;;52;74;;0
